date,transactions
8/19/2023,1970854
8/4/2019,2646261
10/15/2019,2259438
12/19/2019,3035625
12/26/2019,2667257
4/7/2020,1394557
6/27/2020,2008038
12/26/2020,1892572
1/7/2022,2047127
9/21/2022,1970947
3/5/2023,1858977
3/27/2023,1717858
4/3/2023,1804915
3/21/2024,1844510
7/13/2018,2406846
6/7/2019,2894485
10/12/2019,2829921
5/14/2020,1816195
8/8/2020,1712231
8/10/2020,1522536
12/4/2020,1943297
9/15/2021,1908777
5/22/2022,2320479
9/10/2022,2210697
1/14/2023,2160975
2/22/2023,1469619
6/2/2023,2176149
8/24/2023,1799917
10/27/2023,1984833
6/6/2020,2341307
10/3/2020,1766178
10/15/2020,1554675
3/20/2021,2031497
5/8/2021,2441975
8/29/2021,2081861
5/14/2022,2349850
11/13/2022,2169803
3/9/2023,1829797
4/8/2023,2416560
7/26/2018,2050120
10/20/2019,2481927
6/8/2020,2006390
9/8/2020,1508048
2/13/2023,1932750
5/18/2023,1880960
1/12/2024,1839513
8/2/2018,2085607
2/18/2019,2044270
8/3/2019,2841344
1/27/2020,2200218
6/15/2022,2145793
3/21/2023,1698980
4/27/2019,2737164
4/7/2022,1970044
5/10/2022,2056949
8/26/2022,2263224
12/7/2022,2071767
1/6/2023,2126037
7/11/2023,1850655
1/17/2024,1681132
12/26/2018,2204476
12/17/2019,2699246
5/12/2022,2159248
7/9/2022,2273208
11/9/2022,1985053
12/22/2018,3084293
1/16/2019,1955298
8/28/2019,2370865
2/6/2020,2011488
3/12/2020,2937008
4/4/2020,1604578
5/3/2020,1637346
7/8/2020,1661574
1/3/2021,1651843
8/14/2021,2111509
11/18/2021,2132511
4/15/2023,2030498
8/15/2018,2070655
8/2/2020,1614341
11/3/2020,1656160
8/4/2021,1929878
8/22/2021,2066913
3/13/2022,2032147
5/27/2022,2550235
8/31/2023,1902996
8/30/2018,2070941
5/16/2020,2094650
9/26/2020,1686251
11/27/2021,2156291
1/22/2022,2196971
5/30/2022,2120530
10/17/2022,2017452
12/2/2018,2193990
8/12/2019,2489139
11/2/2019,2876475
9/18/2021,2082677
10/14/2021,2041640
1/4/2022,2084692
2/5/2022,2152806
5/16/2022,2184958
10/27/2022,2091891
8/22/2023,1817297
7/17/2018,2048556
7/12/2019,2817752
1/30/2020,2198149
3/19/2020,2125325
1/21/2021,1752987
5/29/2022,2291363
9/27/2022,1952284
10/30/2022,2195426
12/18/2022,2321802
1/22/2023,1834285
3/29/2023,1665655
12/30/2023,2174413
10/28/2018,2074550
5/31/2019,2789613
10/31/2019,2281190
6/21/2020,2002508
6/23/2020,1919348
4/3/2021,2489374
6/29/2021,1919062
9/18/2022,2143895
4/13/2023,1794079
8/5/2023,1964751
8/13/2023,1892699
